OfficialShonaa,"RT @iCanSaveLife: #Chennai urgently needs A- blood
At: MIOT Hospital, Porur
Call: 9952081379
via @Pedal_India 
cc @WeAreChennai @ManobalaV",Mon May 05 06:18:30 +0000 2014, Arjun's Shonaa,web
drsrb,"RT @coolfunnytshirt: ""India is my country and all Indians are my brothers and sisters. I love my country and I am proud of its rich..."" ~ B…",Mon May 05 06:18:30 +0000 2014,Altruistic,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
wolfdsc828,@JotaOnGame Da igual tío. El Barça prefiere perder a beneficiar al Madrid. Lo saben hasta los coreanos. Quizás un 1-1.,Mon May 05 06:18:31 +0000 2014,Gato Melón al habla,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
ankurpurohit,"RT @ARobertsjourno: Brilliant chart at the start of this article, showing (among other things) India's share of world GDP/population http:/…",Mon May 05 06:18:31 +0000 2014,ankur purohit,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>"
DDSez,RT @svaradarajan: Idiotic idea of Gogoi govt to cover up its failure to protect lives: Assam mulls arming Muslims in Bodo areas : http://t.…,Mon May 05 06:18:31 +0000 2014,Deepak D'Souza,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
biebsmelodys,RT @BethanyMota: New vlog is up!!! Some footage from my trip to India when I did a shopping challenge with @sherryshroff 💕 https://t.co/d3E…,Mon May 05 06:18:32 +0000 2014,Hard 2 Face Reality♛,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
_SheHasValue,Idk when the quiz even got there but fasho lol.,Mon May 05 06:18:32 +0000 2014,DannieBee,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Diime_isaac,#IsaacAcosta India: Hubo 21 fallecidos en descarrilamiento de tren: Al menos 21 personas fallecieron y unas 12... http://t.co/nFLpJOqgjw,Mon May 05 06:18:32 +0000 2014,†     Ĩѕαα¢ Ẳčσѕтα ,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
ihy21_butILY29,"RT @Jstnpntrs: #SaHighSchool when quiz comes, we sit according to Cheatting Arrangement 😂 kiddo. Hahahaha!",Mon May 05 06:18:33 +0000 2014,simple,web
CamiCaimer,"Quizás ahora te diste cuenta lo que apartaste de tu vida, o tal vez, SOLO QUIERES SABER COMO VIVO YO...",Mon May 05 06:18:33 +0000 2014,#LunaLunera♥,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
